1 : 1 
24 12 12 18
28 12 12 18
0 16 12 18
4 16 12 18
8 16 12 18
12 16 12 18
16 16 12 18
20 16 12 18
24 16 12 18
28 16 12 18
0 20 12 18
4 20 12 18
8 20 12 18
12 20 12 18
16 20 12 18
20 20 12 18
24 20 12 18
28 20 12 18
0 0 16 24
4 0 16 24
8 0 16 24
12 0 16 24
16 0 16 24
20 0 16 24
24 0 16 24
0 4 16 24
4 4 16 24
8 4 16 24
12 4 16 24
16 4 16 24
20 4 16 24
24 4 16 24
0 8 16 24
4 8 16 24
8 8 16 24
12 8 16 24
16 8 16 24
20 8 16 24
24 8 16 24
0 12 16 24
4 12 16 24
8 12 16 24
12 12 16 24
16 12 16 24
20 12 16 24
24 12 16 24
0 16 16 24
4 16 16 24
8 16 16 24
12 16 16 24
16 16 16 24
20 16 16 24
24 16 16 24
0 0 20 30
4 0 20 30
8 0 20 30
12 0 20 30
16 0 20 30
20 0 20 30
0 4 20 30
4 4 20 30
8 4 20 30
12 4 20 30
16 4 20 30
20 4 20 30
0 8 20 30
4 8 20 30
8 8 20 30
12 8 20 30
16 8 20 30
20 8 20 30
0 0 24 36
4 0 24 36
8 0 24 36
12 0 24 36
16 0 24 36
0 4 24 36
4 4 24 36
8 4 24 36
12 4 24 36
16 4 24 36
4 : 1 
0 0 6 24
4 0 6 24
8 0 6 24
12 0 6 24
16 0 6 24
20 0 6 24
24 0 6 24
28 0 6 24
32 0 6 24
0 4 6 24
4 4 6 24
8 4 6 24
12 4 6 24
16 4 6 24
20 4 6 24
24 4 6 24
28 4 6 24
32 4 6 24
0 8 6 24
4 8 6 24
8 8 6 24
12 8 6 24
16 8 6 24
20 8 6 24
24 8 6 24
28 8 6 24
32 8 6 24
0 12 6 24
4 12 6 24
8 12 6 24
12 12 6 24
16 12 6 24
20 12 6 24
24 12 6 24
28 12 6 24
32 12 6 24
0 16 6 24
4 16 6 24
8 16 6 24
12 16 6 24
16 16 6 24
20 16 6 24
24 16 6 24
28 16 6 24
32 16 6 24
0 0 10 40
4 0 10 40
8 0 10 40
12 0 10 40
16 0 10 40
20 0 10 40
24 0 10 40
28 0 10 40
1 : 4 
0 0 24 6
4 0 24 6
8 0 24 6
12 0 24 6
16 0 24 6
0 4 24 6
4 4 24 6
8 4 24 6
12 4 24 6
16 4 24 6
0 8 24 6
4 8 24 6
8 8 24 6
12 8 24 6
16 8 24 6
0 12 24 6
4 12 24 6
8 12 24 6
12 12 24 6
16 12 24 6
0 16 24 6
4 16 24 6
8 16 24 6
12 16 24 6
16 16 24 6
0 20 24 6
4 20 24 6
8 20 24 6
12 20 24 6
16 20 24 6
0 24 24 6
4 24 24 6
8 24 24 6
12 24 24 6
16 24 24 6
0 28 24 6
4 28 24 6
8 28 24 6
12 28 24 6
16 28 24 6
0 32 24 6
4 32 24 6
8 32 24 6
12 32 24 6
16 32 24 6
0 0 40 10
0 4 40 10
0 8 40 10
0 12 40 10
0 16 40 10
0 20 40 10
0 24 40 10
0 28 40 10
