stage: 1
0 0.0281514 0.541524
0 0.0282653 0.541524
0 0.0283793 0.541521
0 0.0284933 0.541517
0 0.0286072 0.541512
0 0.0287212 0.541501
0 0.0288352 0.541469
0 0.0289492 0.541449
0 0.0290631 0.541448
0 0.0291771 0.541434
0 0.0292911 0.541419
0 0.0294051 0.541413
0 0.029519 0.541388
0 0.029633 0.54138
0 0.029747 0.541358
0 0.029861 0.541347
0 0.0299749 0.541337
0 0.0300889 0.541328
0 0.0302029 0.541325
0 0.0303168 0.541322
0 0.0304308 0.541313
0 0.0305448 0.541291
0 0.0306588 0.541275
0 0.0307727 0.541273
0 0.0308867 0.541266
0 0.0310007 0.541258
0 0.0311147 0.541255
0 0.0312286 0.541254
0 0.0313426 0.541228
0 0.0314566 0.541216
0 0.0315705 0.541202
0 0.0316845 0.541181
0 0.0317985 0.54118
0 0.0319125 0.541172
0 0.0320264 0.541159
0 0.0321404 0.541159
0 0.0322544 0.541156
0 0.0323684 0.541119
0 0.0324823 0.541114
0 0.0325963 0.541109
0 0.0327103 0.541066
0 0.0328243 0.541043
0 0.0329382 0.541041
0 0.0330522 0.541034
0 0.0331662 0.541031
0 0.0332801 0.540993
0 0.0333941 0.54098
0 0.0335081 0.540969
0 0.0336221 0.540968
0 0.033736 0.540966
0 0.03385 0.540965
0 0.033964 0.540958
0 0.034078 0.540952
0 0.0341919 0.540946
0 0.0343059 0.540931
0 0.0344199 0.54092
0 0.0345339 0.540902
0 0.0346478 0.540902
0 0.0347618 0.540899
0 0.0348758 0.540882
0 0.0349897 0.54088
0 0.0351037 0.540879
0 0.0352177 0.540874
0 0.0353317 0.540873
0 0.0354456 0.540862
0 0.0355596 0.540856
0 0.0356736 0.540854
0 0.0357876 0.540845
0 0.0359015 0.540841
0 0.0360155 0.540833
0 0.0361295 0.540823
0 0.0362434 0.540821
0 0.0363574 0.540814
0 0.0364714 0.540812
0 0.0365854 0.540787
0 0.0366993 0.540785
0 0.0368133 0.540783
0 0.0369273 0.540778
0 0.0370413 0.540775
0 0.0371552 0.540772
0 0.0372692 0.540768
0 0.0373832 0.540766
0 0.0374972 0.540759
0 0.0376111 0.540701
0 0.0377251 0.54069
0 0.0378391 0.540681
0 0.037953 0.540679
0 0.038067 0.540674
0 0.038181 0.540652
0 0.038295 0.540645
0 0.0384089 0.540641
0 0.0385229 0.54063
0 0.0386369 0.540617
0 0.0387509 0.540615
0 0.0388648 0.540613
0 0.0389788 0.540605
0 0.0390928 0.540576
0 0.0392067 0.540548
0 0.0393207 0.540545
0 0.0394347 0.540536
0 0.0395487 0.540531
0 0.0396626 0.540526
0 0.0397766 0.54051
0 0.0398906 0.540509
0 0.0400046 0.5405
0 0.0401185 0.540476
0 0.0402325 0.540472
0 0.0403465 0.540459
0 0.0404605 0.540453
0 0.0405744 0.540438
0 0.0406884 0.540415
0 0.0408024 0.540412
0 0.0409163 0.540403
0 0.0410303 0.540403
0 0.0411443 0.540398
0 0.0412583 0.540395
0 0.0413722 0.540391
0 0.0414862 0.540375
0 0.0416002 0.540374
0 0.0417142 0.540362
0 0.0418281 0.540359
0 0.0419421 0.540355
0 0.0420561 0.540353
0 0.04217 0.540345
0 0.042284 0.540342
0 0.042398 0.540331
0 0.042512 0.540327
0 0.0426259 0.54029
0 0.0427399 0.540289
0 0.0428539 0.540288
0 0.0429679 0.540284
0 0.0430818 0.540284
0 0.0431958 0.540278
0 0.0433098 0.540269
0 0.0434238 0.540253
0 0.0435377 0.540246
0 0.0436517 0.540239
0 0.0437657 0.540231
0 0.0438796 0.540228
0 0.0439936 0.54022
0 0.0441076 0.540215
0 0.0442216 0.54021
0 0.0443355 0.540201
0 0.0444495 0.540179
0 0.0445635 0.540176
0 0.0446775 0.540166
0 0.0447914 0.540158
0 0.0449054 0.540133
0 0.0450194 0.540131
0 0.0451333 0.54012
0 0.0452473 0.540118
